Reading training examples... 3695 examples, 1135424 tokens, 48 features, 48 classes... done
Iter 12003: *(NumConst=554, SV=512, CEps=0.5605, QPEps=0.2666)
Iter 12004: *(NumConst=555, SV=513, CEps=0.6060, QPEps=0.2735)
Iter 12005: *(NumConst=556, SV=510, CEps=0.5183, QPEps=0.2269)
Iter 12006: *(NumConst=557, SV=511, CEps=0.6629, QPEps=0.2387)
Iter 12007: *(NumConst=558, SV=511, CEps=0.5716, QPEps=0.2561)
Iter 12008: *(NumConst=558, SV=512, CEps=0.6056, QPEps=0.2529)
Iter 12009: *(NumConst=558, SV=511, CEps=0.6071, QPEps=0.2492)
Iter 12010: .........*(NumConst=559, SV=512, CEps=1.0804, QPEps=0.4311)
Iter 12011: *(NumConst=560, SV=513, CEps=0.8927, QPEps=0.4385)
Iter 12012: *(NumConst=561, SV=512, CEps=0.6340, QPEps=0.2958)
Iter 12013: *(NumConst=560, SV=513, CEps=0.6254, QPEps=0.2760)
Iter 12014: *(NumConst=560, SV=513, CEps=0.6325, QPEps=0.3044)
Iter 12015: *(NumConst=560, SV=514, CEps=0.6277, QPEps=0.3014)
Iter 12016: *(NumConst=560, SV=515, CEps=0.6167, QPEps=0.2898)
Iter 12017: *(NumConst=559, SV=514, CEps=0.5684, QPEps=0.2833)
Iter 12018: *(NumConst=559, SV=514, CEps=0.6372, QPEps=0.2654)
Iter 12019: *(NumConst=559, SV=513, CEps=0.5887, QPEps=0.2693)
Iter 12020: *(NumConst=559, SV=514, CEps=0.7031, QPEps=0.2714)
Iter 12021: *(NumConst=558, SV=515, CEps=0.6518, QPEps=0.2541)
Iter 12022: *(NumConst=557, SV=515, CEps=0.5818, QPEps=0.2804)
Iter 12023: .........*(NumConst=558, SV=516, CEps=0.9650, QPEps=0.3882)
Iter 12024: *(NumConst=559, SV=517, CEps=0.6600, QPEps=0.3054)
Iter 12025: *(NumConst=560, SV=518, CEps=0.6361, QPEps=0.2946)
Iter 12026: *(NumConst=561, SV=516, CEps=0.5844, QPEps=0.2903)
Iter 12027: *(NumConst=562, SV=517, CEps=0.6878, QPEps=0.2754)
Iter 12028: *(NumConst=561, SV=519, CEps=0.5656, QPEps=0.2728)
